Etichette di riga,"Somma di Annual mean, ug/m3 PM10","Somma di Annual mean, ug/m3 PM2.5","Max di Annual mean, ug/m3 PM10_2","Max di Annual mean, ug/m3 PM2.5_2","Min di Annual mean, ug/m3 PM10_2","Min di Annual mean, ug/m3 PM2.5_2"
Afghanistan,594,154,334,86,260,68
Albania,31.61542142,16.06236628,31.61542142,16.06236628,31.61542142,16.06236628
Andorra,18,11,18,11,18,11
Argentina,26.15166667,14.15959305,26.15166667,14.15959305,26.15166667,14.15959305
Australia,647.6959567,277.0802024,22.3,9.8,12.82046228,4.95
Austria,1287.314476,938.0466511,26.82380952,19.66181041,13.02213213,9.545202477
Bahrain,1248.1,273.03,317.88,65.52,178.38,41.44
Bangladesh,1123.296212,623.8763088,191.4166667,105.7916667,63.9,36.86945272
Belgium,1022.931541,679.8718763,30.94110187,20.6423205,12.86934758,9.10207901
Bhutan,77.75,43.2438339,77.75,43.2438339,77.75,43.2438339
"Bolivia, Plurinational States of",141.52,76.62477631,82,44.39818865,59.52,32.22658766
Bosnia and Herzegovina,155.8237634,95.01654431,106.2147634,64.7665,49.609,30.25004431
Brazil,1520.297492,684.4797442,95,43.50880279,12,5.495848774
Bulgaria,1082.3952,734.430605,59.1522063,42.23813047,27.15225895,13.19619178
Cameroon,311,248,141,132,65,49
Canada,1569.493147,887.818799,29.76477408,17,5.252607191,3
Chile,1065.548618,541.9472319,75.445,63.92,11.80506594,5.449
China,17726.38168,10912.49256,305,128,15.8420465,10.5
Colombia,717.4716667,361.4844125,51.91,41.2,18,9
Costa Rica,202.7846631,152.1942682,47,30,19.78466306,14
Croatia,155.9093633,95.06874051,36.90293636,22.50227701,18.22072896,11.11044081
Cyprus,183.2756405,79.88489837,47.17835616,17.05917808,26.4019178,12.78791208
Czech Republic,1380.37554,1027.828018,44.90256053,33.37146325,17.75226412,12.39283119
Denmark,109.9640529,50.55492246,26.53523492,11.26575635,15.99083431,7.343963439
Ecuador,322.4116667,150.3391669,68.79,33.17442895,18.48,8.912101279
Egypt,346,146.2143016,179,75.64265892,167,70.57164268
